# www.neaspec.com
# Scan:	 	Approach Curve
# Project:	 	20251007_PS
# Description:	 	
# Date:	 	10/07/2025 16:12:18
# Scanner Center Position (X, Y):	[µm]	49.66	48.17	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.200
# Pixel Area (X, Y, Z):	[px]	1	1	200
# Averaging:	 	1	 	 
# Integration time:	[ms]	50	 	 
# Laser Source:	 	4.5-15 µm nano-FTIR laser
# Detector:	 	R
# Target Wavelength:	[µm]	7.502	 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	238,800.109	 	 
# Tip Amplitude:	[mV]	13.000	 	 
# Tapping Amplitude:	[nm]	72.109	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	79.75	 	 
# Regulator (P, I, D):	 	4.206850	8.625812	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	0.426	 	 
# M1A Cantilever Factor:	 	1,000	 	 
# Q-Factor:	 	452.3	 	 
# Version:	 	2.1.11536.0
Row	Column	Run	Depth	Z	M0A	M0P	M1A	M1P	M2A	M2P	M3A	M3P	M4A	M4P	M5A	M5P	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	16	8.0432864E-07	196.52257	0	81.44734	1.854478	0.40327656	-0.54594445	0.24829525	-2.3987799	0.0014001261	-0.605456	0.00028984484	-0.37759542	89.16381	0	18.304909	2.8380642	3.665076	-0.56314814	0.59768206	2.3419504	0.145465	-0.99674475	0.00028564656	2.0269685	
0	0	0	17	8.0532544E-07	196.51906	0	81.40044	1.855728	0.4029775	-0.5429395	0.24993539	-2.4017482	0.0007721667	-0.7494813	0.00030749082	2.4869957	89.53809	0	17.91175	2.8381057	3.573678	-0.5763873	0.58566505	2.3077774	0.11844017	-0.9258364	0.00055494613	2.7419736	
0	0	0	18	8.063387E-07	196.51524	0	81.39675	1.8559444	0.40139815	-0.5455048	0.24792135	-2.3978455	0.0010898768	2.1984997	0.00049428944	1.2973571	89.14974	0	17.593842	2.8365307	3.506642	-0.585413	0.52605027	2.325852	0.106521696	-1.0814288	0.00026612188	1.3830909	
0	0	0	19	8.073437E-07	196.51627	0	81.39082	1.8566066	0.4018869	-0.5339949	0.24922536	-2.3940446	0.0028259242	0.13337097	0.0002501255	0.8572471	90.13664	0	17.281536	2.8392768	3.4328194	-0.57842296	0.51408625	2.2760022	0.13468112	-0.94809276	0.00013035888	0.6509708	
0	0	0	20	8.083487E-07	196.50705	0	81.36441	1.8572383	0.4023373	-0.54144764	0.248057	-2.393333	0.00088314	-1.0934044	2.3625378E-05	-0.017065302	89.45838	0	16.955875	2.836602	3.3335907	-0.5763878	0.52340156	2.3720632	0.11320748	-0.9850924	0.0003070933	0.71798885	
0	0	0	21	8.093455E-07	196.48888	0	81.38989	1.8566834	0.40488732	-0.53909075	0.24854958	-2.4021764	0.0019648669	-0.57721627	0.00013664158	0.3957259	90.17961	0	16.65521	2.837001	3.272717	-0.5906012	0.49059492	2.3030066	0.108089894	-0.80947345	0.000120245415	0.75903714	
0	0	0	22	8.103588E-07	196.47485	0	81.36108	1.8579403	0.40302584	-0.53058255	0.24757761	-2.401641	0.0017405904	0.29116926	0.00025017778	1.4105091	90.23137	0	16.394361	2.8356707	3.2337458	-0.57539606	0.47090945	2.2548614	0.07226366	-1.1030777	0.00021158422	1.9212319	
0	0	0	23	8.113638E-07	196.47096	0	81.36567	1.8563666	0.4016304	-0.54347897	0.2483228	-2.3982227	0.0030181173	0.7469757	0.00013545288	0.56506777	90.21168	0	16.078762	2.8356993	3.1237507	-0.56606	0.43353137	2.3828456	0.1461861	-1.1088855	0.00066104904	-2.4747972	
0	0	0	24	8.1236885E-07	196.47229	0	81.39157	1.855515	0.40095812	-0.5440106	0.24957061	-2.403354	0.0020623042	0.02517198	0.00018098626	0.88022125	90.01987	0	15.769744	2.834745	3.0579147	-0.5788599	0.43022797	2.3560593	0.088264264	-1.0115681	0.00039723126	0.40508258	
0	0	0	25	8.1336566E-07	196.46388	0	81.37828	1.8561511	0.4018782	-0.5353908	0.24840055	-2.4013686	0.001600678	-1.143177	0.0003874253	-1.2181427	89.94889	0	15.510098	2.836074	2.99727	-0.5755849	0.41570345	2.3578672	0.04689514	-0.666964	0.00018047736	1.1458871	
